order_item_created_at,order_created_at,status,sale_price,cost,brand,category,department,product_name,order_id,order_item_id,user_id,gender,country,state,city
2023-01-03 16:17:35.000000 UTC,2022-12-30 17:45:24.000000 UTC,Processing,6.9800000190734863,3.45510000372082,Ilusion,Intimates,Women,Ilusion Women's Low-rise Floral Lace Panty BLACK L,106189,153929,84904,F,France,Bourgogne-Franche-Comté,Besançon
2023-01-03 16:27:36.000000 UTC,2022-12-30 17:45:24.000000 UTC,Processing,159.99000549316406,75.0353126573512,Gore,Active,Women,Gore Bike Wear Women's Contest Windstopper Soft Shell Lady Jacket,106189,153930,84904,F,France,Bourgogne-Franche-Comté,Besançon
2023-01-04 00:36:08.000000 UTC,2023-01-02 04:05:29.000000 UTC,Cancelled,9.0,5.0489999894052735,Assets,Intimates,Women,Footless Shaper,22265,32089,17958,F,France,Nouvelle-Aquitaine,Thouars
2023-01-05 07:50:00.000000 UTC,2023-01-05 11:19:48.000000 UTC,Shipped,66.0,34.056000050157309,DC,Fashion Hoodies & Sweatshirts,Women,DC Juniors Jasper Fleece Hoody,120585,174711,96372,F,France,Grand Est,Heiteren
2023-01-06 03:27:08.000000 UTC,2023-01-02 04:05:29.000000 UTC,Cancelled,74.989997863769531,31.5707891073516,Purpura Erizo,Dresses,Women,Purpura Erizo Womens Elegant Lace Collar Long Sleeve Dress,22265,32090,17958,F,France,Nouvelle-Aquitaine,Thouars
2023-01-07 09:31:04.000000 UTC,2023-01-07 12:31:55.000000 UTC,Shipped,11.090000152587892,5.4341000772468746,Allegra K,Jumpsuits & Rompers,Women,Allegra K Ladies Black Tie Shoulder Cut Out Sleeve Short Jumpsuit,94007,136238,75233,F,France,Occitanie,Vauvert
2023-01-08 17:23:07.000000 UTC,2023-01-08 20:39:04.000000 UTC,Complete,11.899999618530272,6.05709980122149,Allegra K,Jumpsuits & Rompers,Women,Allegra K Lady Zipped Back Drawstring Front Side Pockets Casual Jumpsuit Red XS,121871,176581,97383,F,France,Pays de la Loire,Angers
2023-01-08 20:02:30.000000 UTC,2023-01-08 20:11:10.000000 UTC,Complete,26.989999771118164,15.600219911141991,Underboss/ Undergirl,Sleep & Lounge,Women,Adventure Time Women's Sleep Tank: Jake,29903,43285,24071,F,France,Occitanie,Montpellier
2023-01-10 07:28:09.000000 UTC,2023-01-10 07:52:40.000000 UTC,Shipped,35.9900016784668,16.699360834583047,Danskin,Active,Women,Danskin Women's Drawcord Pant,99560,144403,79633,F,France,Auvergne-Rhône-Alpes,Grane
2023-01-15 01:10:13.000000 UTC,2023-01-15 03:19:03.000000 UTC,Processing,29.0,13.600999960675836,Wool Overs,Sweaters,Women,Womens Lambswool Slipover V Neck Sleeveless Sweater,24843,35874,20048,F,France,Nouvelle-Aquitaine,Le Taillan-Médoc
2023-01-17 14:29:32.000000 UTC,2023-01-17 14:36:22.000000 UTC,Shipped,22.889999389648441,12.86417971906036,Ilusion,Sleep & Lounge,Women,Soft Cotton Sleepwear Pajamas Set - Lightweight Breathable Fabric,83477,120991,66717,F,France,Nouvelle-Aquitaine,Bergerac
2023-01-17 22:55:23.000000 UTC,2023-01-18 00:31:26.000000 UTC,Processing,46.9900016784668,23.213060870474727,Dockers,Pants & Capris,Women,Dockers Women's Plus-Size Trouser,79641,115407,63688,F,France,Bretagne,Rennes
2023-01-17 23:30:50.000000 UTC,2023-01-15 03:19:03.000000 UTC,Processing,79.949996948242173,33.898798752517251,Bradford Exchange,Fashion Hoodies & Sweatshirts,Women,The Bradford Exchange Nursing Women's Hoodie: The Art Of Caring Black,24843,35876,20048,F,France,Nouvelle-Aquitaine,Le Taillan-Médoc
2023-01-18 23:43:14.000000 UTC,2023-01-15 03:19:03.000000 UTC,Processing,37.880001068115234,21.137040532789229,Pendleton,Jeans,Women,Pendleton Women's Petite Boyfriend Slim Jean,24843,35875,20048,F,France,Nouvelle-Aquitaine,Le Taillan-Médoc
2023-01-20 22:39:03.000000 UTC,2023-01-18 00:31:26.000000 UTC,Processing,23.229999542236328,10.2676598364377,Roma Costume,Swim,Women,2Pc Full Back Tie Pucker Bikini Set,79641,115408,63688,F,France,Bretagne,Rennes
2023-01-21 13:58:11.000000 UTC,2023-01-17 14:36:22.000000 UTC,Shipped,15.100000381469728,7.4141001650258893,Hanes,Intimates,Women,Beautiful Comfort Concealing Wirefree,83477,120990,66717,F,France,Nouvelle-Aquitaine,Bergerac
